japaneseChar	simpChineseChar	tradChineseChar	pinyin	kunyomi	onyomi	englishMeaning
咅				つばおはいていなむ	トウ,ホウ,フ,ツ	to spit out
咈				たがう,いな	フツ,ブチ,ヒツ,ビチ,ホツ	oppose
咉				ふさがる	アウ,ヨウ,オウ	an echo, a sound to vomit, as an infant
咍				わらふ,よろこぶ,わらう,たのしむ	カイ,タイ	laugh
咑					ダ,ダース	(Cant.) 啲咑, a trumpet
咜				しかる	タ,ト	to scold
咟					カク	
咠				ささやく,そしる	シュウ,ユウ	to whisper. to blame to slander
咡				くちもと,くち	ジ,ニ	side of mouth
咢				おどろく	ガク	sound; drumming
咥				わらう,かむ,とまる	キ,テツ,シ,ケ,ギチ,チチ,デチ,テチ	sound of a cat; bite; laugh
咮				くちばし	トウ,ツ,チュウ,シュウ,チュ,シュ,ジュ,ニュ	a beak; to peck
咹				どもる,ささやく,やむ	アツ,アチ,アン	(Cant.) sound of an automobile horn
咺				おそれる	ケン,クウン,カン	majestic
咾				こえ	ロウ	a noise; a sound
哃				そらごと	トウ,ズ,ドウ	
哊				はく	イク	
哘				さそう,さそ		invite; entice; (kokuji)
哠				しゃべる	コウ,ゴウ	
哢				さえずる	ロウ,ル	syllable
哬				しかる,せめる	カ	sound of a large crowd of people
哯				はく	ケン,ゲン	vomit; spit up
哱				こえ,みだれる	ホツ,ホチ,ハイ,ヘ	
哾				なめる	ヤツ,ヤチ,セツ,セチ,セイ,セ	
唀				さそおう,さばける	イウ,ユウ	call out to and deceive
唅				ふくむ,ふくませもの	カン,コン,ゴン	a sound; to put in the mouth; (Cant.) to grunt, grumble
唈				なげく,むせぶ	オウ,ユウ	to sob
唌				なげく	セン,ゼン,タン,ダン,エン	
唍				ほほえむ	カン,ゲン	
唎				こえ	リ	sound, noise; final particle
唖				おし	ア,アク	dumb, mute; become hoarse
唫				どもる,おとじる,ううたう,つぐむ	ギン,ゴン,キン	to hum, to intone, etc. to close, to shut
唲				へつらう,かたこと	ジ,ニ,アイ	forced laughter
唶				なく	シャ,セキ,シャク,サク,ジャク	sigh, groan; loud laughter
唸				うなる,うなり	テン	recite, read, chant
唹				わらう	ヨ,オ	to smile at
唻				うたう	ライ	
唽					セキ,シャク	to twitter
啀				いがむ	ガイ,ゲ	gnaw; (Cant.) to shout, yell, scold
啅				やかましい,ついばむ	タク,トウ,チョク,サク,チョウ	noisy; peck at; chirping; twittering
啇				もと,ねもと,やわらぐ	テキ,チャク,セキ,シャク	to stalk; the stem; the foot; the base
啌				しかる	コウ	animal disease
啍				いき	トン,ドン,シュン,タイ,テ,キョウ,カウ,ジュン,コウ	creak; (Cant.) to babble, gibberish
啑				すする	ソウ,ショウ	to gobble
啘					エン,セツ,エツ,ワ	
啚				おしむ	ヒ,ト	low, mean
啛				なめる	サイ,セ	(Cant.) interjection (used by men)
啝				したがう	カ,ワ	(Cant.) final particle expressing surprise
啠				さとい	テツ	philosophy; clear
㖦					トウ,ツ	loquacity
㖨					ロク	Indistinct nasal utterance, laugh, sound of birds
啽				いびき,とじる	ガン,ゴン	(Cant.) to speak
啿				ゆたか	タン,ドン	
喎				ゆがむ	カ	a wry mouth; (Cant.) a final particle expressing contradiction, quotation, etc.
喒				われ	サン	a dual pronoun, I, you and me, we two
喓				こえ	エウ,ヨウ	chirping, buzzing; (Cant.) to call out
喗					ギン,ゴン,グン,ソン,ゾン	
喝						
喣				いろ,あらわししめす	ク	to breathe upon
喤				なきごえ	コウ,オウ,キョウ,ギャウ	ah; harmony
