japaneseChar	simpChineseChar	tradChineseChar	pinyin	kunyomi	onyomi	englishMeaning
弊	弊	弊	bì	つかれる,くるしむ,やぶれる,たおれる	ヘイ,ヘツ,ハイ	evil, wrong, bad; criminal
必	必	必	bì	かならず	ヒツ,ヘツ,ヘチ,ヒチ	surely, most certainly; must
斃	毙	斃	bì	たおれる,たおす	ヘイ,ベ	kill; die violent death
畢	毕	畢	bì	あみ,おわる,ことごとく	ヒツ,ヒチ	end, finish, conclude; completed; 19th lunar mansion, determinative star ε Tauri (Ain)
璧	璧	璧	bì	たま	ヘキ,ヒャク	piece of jade with hole in it
痹	痹	痹	bì	しびれる,しびれ	ヒ	paralysis, numbness
碧	碧	碧	bì	みどり,あお	ヘキ,ヒャク	jade; green, blue
臂	臂	臂	bì	ひじ	ヒ	arm
蔽	蔽	蔽	bì	おおう,おおい	ヘイ	cover, hide, conceal; shelter
襞	襞	襞	bì	ひだ,しわ	ヘキ,ヒャク	fold, pleat, crease
避	避	避	bì	さける	ヒ,ビ	avoid; turn aside; escape; hide
閉	闭	閉	bì	とじる,しめる,とざす,しまる	ヘイ,ヘツ,ヘチ	shut, close; obstruct, block up
陛	陛	陛	bì	きざはし	ヘイ,ベイ,ヒ,ビ	steps leading throne; throne
彼	彼	彼	bǐ	かれ,かの,か	ヒ	that, there, those
比	比	比	bǐ	くらべる,ならぶ,ならべる,ころ,ころおい,たぐう,たぐえる,ならび	ヒ,ビ,ヒツ,ビチ	to compare, liken; comparison; than; hexagram ䷇
筆	笔	筆	bǐ	ふで	ヒツ,ヒチ,ヘツ,ヘチ,ジョウ,ニョウ	writing brush; write; stroke
鄙	鄙	鄙	bǐ	ひな,いやしい,いやしむ	ヒ	mean; low
偪	逼	逼	bī	せまる,むかばき	ヒヨク,ヒキ,フク,ヒツ,ヒョク	compel, pressure, force; bother
便	便	便	biàn	たより,すなわち	ベン,ビン,ヘン	convenience, ease; expedient
変	变	變	biàn	かわる,かえる	ヘン	change, transform, alter; rebel
弁	弁	弁	biàn	かんむり,わける,わきまえる	ベン,ヘン,ハン,バン	conical cap worn during Zhou dynasty
